#T,E
0.001,1
0.001,2
0.001,4
0.001,8
0.001,16
0.001,32
0.001,64
0.001,128
0.001,256
0.001,512
0.001,1024
0.001,2048
0.002,1
0.002,2
0.002,4
0.002,8
0.002,16
0.002,32
0.002,64
0.002,128
0.002,256
0.002,512
0.002,1024
0.002,2048
0.004,1
0.004,2
0.004,4
0.004,8
0.004,16
0.004,32
0.004,64
0.004,128
0.004,256
0.004,512
0.004,1024
0.004,2048
0.008,1
0.008,2
0.008,4
0.008,8
0.008,16
0.008,32
0.008,64
0.008,128
0.008,256
0.008,512
0.008,1024
0.008,2048
0.016,1
0.016,2
0.016,4
0.016,8
0.016,16
0.016,32
0.016,64
0.016,128
0.016,256
0.016,512
0.016,1024
0.016,2048
0.032,1
0.032,2
0.032,4
0.032,8
0.032,16
0.032,32
0.032,64
0.032,128
0.032,256
0.032,512
0.032,1024
0.032,2048
0.064,1
0.064,2
0.064,4
0.064,8
0.064,16
0.064,32
0.064,64
0.064,128
0.064,256
0.064,512
0.064,1024
0.064,2048
0.128,1
0.128,2
0.128,4
0.128,8
0.128,16
0.128,32
0.128,64
0.128,128
0.128,256
0.128,512
0.128,1024
0.128,2048
0.256,1
0.256,2
0.256,4
0.256,8
0.256,16
0.256,32
0.256,64
0.256,128
0.256,256
0.256,512
0.256,1024
0.256,2048
0.512,1
0.512,2
0.512,4
0.512,8
0.512,16
0.512,32
0.512,64
0.512,128
0.512,256
0.512,512
0.512,1024
0.512,2048
1.024,1
1.024,2
1.024,4
1.024,8
1.024,16
1.024,32
1.024,64
1.024,128
1.024,256
1.024,512
1.024,1024
1.024,2048
2.048,1
2.048,2
2.048,4
2.048,8
2.048,16
2.048,32
2.048,64
2.048,128
2.048,256
2.048,512
2.048,1024
2.048,2048
4.096,1
4.096,2
4.096,4
4.096,8
4.096,16
4.096,32
4.096,64
4.096,128
4.096,256
4.096,512
4.096,1024
4.096,2048
8.192,1
8.192,2
8.192,4
8.192,8
8.192,16
8.192,32
8.192,64
8.192,128
8.192,256
8.192,512
8.192,1024
8.192,2048
16.384,1
16.384,2
16.384,4
16.384,8
16.384,16
16.384,32
16.384,64
16.384,128
16.384,256
16.384,512
16.384,1024
16.384,2048
32.768,1
32.768,2
32.768,4
32.768,8
32.768,16
32.768,32
32.768,64
32.768,128
32.768,256
32.768,512
32.768,1024
32.768,2048
65.536,1
65.536,2
65.536,4
65.536,8
65.536,16
65.536,32
65.536,64
65.536,128
65.536,256
65.536,512
65.536,1024
65.536,2048
131.072,1
131.072,2
131.072,4
131.072,8
131.072,16
131.072,32
131.072,64
131.072,128
131.072,256
131.072,512
131.072,1024
131.072,2048
262.144,1
262.144,2
262.144,4
262.144,8
262.144,16
262.144,32
262.144,64
262.144,128
262.144,256
262.144,512
262.144,1024
262.144,2048
524.288,1
524.288,2
524.288,4
524.288,8
524.288,16
524.288,32
524.288,64
524.288,128
524.288,256
524.288,512
524.288,1024
524.288,2048
1048.576,1
1048.576,2
1048.576,4
1048.576,8
1048.576,16
1048.576,32
1048.576,64
1048.576,128
1048.576,256
1048.576,512
1048.576,1024
1048.576,2048
