#T,E,G
80,64,0.25
80,128,0.05
80,128,0.1
80,128,0.15
80,128,0.2
80,128,0.25
80,256,0.05
80,256,0.1
80,256,0.15
80,256,0.2
80,256,0.25
90,1,0.05
90,1,0.1
90,1,0.15
90,1,0.2
90,1,0.25
90,2,0.05
90,2,0.1
90,2,0.15
90,2,0.2
90,2,0.25
90,4,0.05
90,4,0.1
90,4,0.15
90,4,0.2
90,4,0.25
90,8,0.05
90,8,0.1
90,8,0.15
90,8,0.2
90,8,0.25
90,16,0.05
90,16,0.1
90,16,0.15
90,16,0.2
90,16,0.25
90,32,0.05
90,32,0.1
90,32,0.15
90,32,0.2
90,32,0.25
90,64,0.05
90,64,0.1
90,64,0.15
90,64,0.2
90,64,0.25
90,128,0.05
90,128,0.1
90,128,0.15
90,128,0.2
90,128,0.25
90,256,0.05
90,256,0.1
90,256,0.15
90,256,0.2
90,256,0.25
100,1,0.05
100,1,0.1
100,1,0.15
100,1,0.2
100,1,0.25
100,2,0.05
100,2,0.1
100,2,0.15
100,2,0.2
100,2,0.25
100,4,0.05
100,4,0.1
100,4,0.15
100,4,0.2
100,4,0.25
100,8,0.05
100,8,0.1
100,8,0.15
100,8,0.2
100,8,0.25
100,16,0.05
100,16,0.1
100,16,0.15
100,16,0.2
100,16,0.25
100,32,0.05
100,32,0.1
100,32,0.15
100,32,0.2
100,32,0.25
100,64,0.05
100,64,0.1
100,64,0.15
100,64,0.2
100,64,0.25
100,128,0.05
100,128,0.1
100,128,0.15
100,128,0.2
100,128,0.25
100,256,0.05
100,256,0.1
100,256,0.15
100,256,0.2
100,256,0.25
110,1,0.05
110,1,0.1
110,1,0.15
110,1,0.2
110,1,0.25
110,2,0.05
110,2,0.1
110,2,0.15
110,2,0.2
110,2,0.25
110,4,0.05
110,4,0.1
110,4,0.15
110,4,0.2
110,4,0.25
110,8,0.05
110,8,0.1
110,8,0.15
110,8,0.2
110,8,0.25
110,16,0.05
110,16,0.1
110,16,0.15
110,16,0.2
110,16,0.25
110,32,0.05
110,32,0.1
110,32,0.15
110,32,0.2
110,32,0.25
110,64,0.05
110,64,0.1
110,64,0.15
110,64,0.2
110,64,0.25
110,128,0.05
110,128,0.1
110,128,0.15
110,128,0.2
110,128,0.25
110,256,0.05
110,256,0.1
110,256,0.15
110,256,0.2
110,256,0.25
120,1,0.05
120,1,0.1
120,1,0.15
120,1,0.2
120,1,0.25
120,2,0.05
120,2,0.1
120,2,0.15
120,2,0.2
120,2,0.25
120,4,0.05
120,4,0.1
120,4,0.15
120,4,0.2
120,4,0.25
120,8,0.05
120,8,0.1
120,8,0.15
120,8,0.2
120,8,0.25
120,16,0.05
120,16,0.1
120,16,0.15
120,16,0.2
120,16,0.25
120,32,0.05
120,32,0.1
120,32,0.15
120,32,0.2
120,32,0.25
120,64,0.05
120,64,0.1
120,64,0.15
120,64,0.2
120,64,0.25
120,128,0.05
120,128,0.1
120,128,0.15
120,128,0.2
120,128,0.25
120,256,0.05
120,256,0.1
120,256,0.15
120,256,0.2
120,256,0.25
130,1,0.05
130,1,0.1
130,1,0.15
130,1,0.2
130,1,0.25
130,2,0.05
130,2,0.1
130,2,0.15
130,2,0.2
130,2,0.25
130,4,0.05
130,4,0.1
130,4,0.15
130,4,0.2
130,4,0.25
130,8,0.05
130,8,0.1
130,8,0.15
130,8,0.2
130,8,0.25
130,16,0.05
130,16,0.1
130,16,0.15
130,16,0.2
130,16,0.25
130,32,0.05
130,32,0.1
130,32,0.15
130,32,0.2
130,32,0.25
130,64,0.05
130,64,0.1
130,64,0.15
130,64,0.2
130,64,0.25
130,128,0.05
130,128,0.1
130,128,0.15
130,128,0.2
130,128,0.25
130,256,0.05
130,256,0.1
