#T,E,G,success rate 
260,128,0.15,0.3
260,128,0.2,0.0
260,128,0.25,0.1
260,256,0.05,0.0
260,256,0.1,0.0
260,256,0.15,0.2
260,256,0.2,0.1
260,256,0.25,0.3
270,1,0.05,0.0
270,1,0.1,0.0
270,1,0.15,0.0
270,1,0.2,0.0
270,1,0.25,0.0
270,2,0.05,0.0
270,2,0.1,0.0
270,2,0.15,0.0
270,2,0.2,0.0
270,2,0.25,0.0
270,4,0.05,0.0
270,4,0.1,0.0
270,4,0.15,0.0
270,4,0.2,0.0
270,4,0.25,0.1
270,8,0.05,0.0
270,8,0.1,0.0
270,8,0.15,0.0
270,8,0.2,0.0
270,8,0.25,0.0
270,16,0.05,0.0
270,16,0.1,0.0
270,16,0.15,0.0
270,16,0.2,0.1
270,16,0.25,0.0
270,32,0.05,0.0
270,32,0.1,0.0
270,32,0.15,0.0
270,32,0.2,0.0
270,32,0.25,0.1
270,64,0.05,0.1
270,64,0.1,0.1
270,64,0.15,0.1
270,64,0.2,0.2
270,64,0.25,0.2
270,128,0.05,0.1
270,128,0.1,0.2
270,128,0.15,0.1
270,128,0.2,0.4
270,128,0.25,0.2
270,256,0.05,0.1
270,256,0.1,0.1
270,256,0.15,0.0
270,256,0.2,0.0
270,256,0.25,0.0
280,1,0.05,0.0
280,1,0.1,0.0
280,1,0.15,0.0
280,1,0.2,0.0
280,1,0.25,0.0
280,2,0.05,0.0
280,2,0.1,0.0
280,2,0.15,0.0
280,2,0.2,0.0
280,2,0.25,0.0
280,4,0.05,0.0
280,4,0.1,0.0
280,4,0.15,0.0
280,4,0.2,0.0
280,4,0.25,0.1
280,8,0.05,0.0
280,8,0.1,0.0
280,8,0.15,0.0
280,8,0.2,0.0
280,8,0.25,0.0
280,16,0.05,0.0
280,16,0.1,0.0
280,16,0.15,0.1
280,16,0.2,0.1
280,16,0.25,0.3
280,32,0.05,0.1
280,32,0.1,0.0
280,32,0.15,0.1
280,32,0.2,0.2
280,32,0.25,0.2
280,64,0.05,0.0
280,64,0.1,0.1
280,64,0.15,0.1
280,64,0.2,0.1
280,64,0.25,0.1
280,128,0.05,0.0
280,128,0.1,0.0
280,128,0.15,0.0
280,128,0.2,0.1
280,128,0.25,0.2
280,256,0.05,0.0
280,256,0.1,0.0
280,256,0.15,0.0
280,256,0.2,0.0
280,256,0.25,0.0
290,1,0.05,0.0
290,1,0.1,0.0
290,1,0.15,0.0
290,1,0.2,0.0
290,1,0.25,0.1
290,2,0.05,0.0
290,2,0.1,0.0
290,2,0.15,0.0
290,2,0.2,0.0
290,2,0.25,0.1
290,4,0.05,0.0
290,4,0.1,0.0
290,4,0.15,0.0
290,4,0.2,0.0
290,4,0.25,0.0
290,8,0.05,0.0
290,8,0.1,0.0
290,8,0.15,0.0
290,8,0.2,0.2
290,8,0.25,0.0
290,16,0.05,0.0
290,16,0.1,0.0
290,16,0.15,0.0
290,16,0.2,0.2
290,16,0.25,0.2
290,32,0.05,0.0
290,32,0.1,0.1
290,32,0.15,0.0
290,32,0.2,0.0
290,32,0.25,0.0
290,64,0.05,0.0
290,64,0.1,0.0
290,64,0.15,0.1
290,64,0.2,0.2
290,64,0.25,0.1
290,128,0.05,0.0
290,128,0.1,0.0
290,128,0.15,0.0
290,128,0.2,0.0
290,128,0.25,0.0
290,256,0.05,0.0
290,256,0.1,0.0
290,256,0.15,0.0
290,256,0.2,0.0
290,256,0.25,0.0
300,1,0.05,0.0
300,1,0.1,0.0
300,1,0.15,0.0
300,1,0.2,0.0
300,1,0.25,0.0
300,2,0.05,0.0
300,2,0.1,0.0
300,2,0.15,0.0
300,2,0.2,0.0
300,2,0.25,0.0
300,4,0.05,0.0
300,4,0.1,0.0
300,4,0.15,0.0
300,4,0.2,0.0
300,4,0.25,0.0
300,8,0.05,0.0
300,8,0.1,0.0
300,8,0.15,0.0
300,8,0.2,0.0
300,8,0.25,0.0
300,16,0.05,0.0
300,16,0.1,0.0
300,16,0.15,0.0
300,16,0.2,0.0
300,16,0.25,0.0
300,32,0.05,0.0
300,32,0.1,0.0
300,32,0.15,0.1
300,32,0.2,0.0
300,32,0.25,0.2
300,64,0.05,0.0
300,64,0.1,0.0
300,64,0.15,0.0
300,64,0.2,0.1
300,64,0.25,0.0
300,128,0.05,0.1
300,128,0.1,0.0
300,128,0.15,0.0
300,128,0.2,0.2
300,128,0.25,0.0
300,256,0.05,0.0
300,256,0.1,0.0
300,256,0.15,0.1
300,256,0.2,0.0
300,256,0.25,0.0
